state,year,population,area
Kelantan,2021,1812.3,15099
Kelantan,2022,1830.6,15099
Kelantan,2023,1859.8,15099
Kelantan,2024,1887.9,15099
Kelantan,2025,1907.7,15099
Melaka,2000,646.6,1664
Melaka,2001,665.8,1664
Melaka,2002,684.1,1664
Melaka,2003,701.8,1664
Melaka,2004,719.8,1664
Melaka,2005,737.3,1664
Melaka,2006,755,1664
Melaka,2007,772.8,1664
Melaka,2008,790.5,1664
Melaka,2009,807.8,1664
Melaka,2010,823.6,1664
Melaka,2011,833.2,1664
Melaka,2012,843.2,1664
Melaka,2013,856.7,1664
Melaka,2014,871.7,1664
Melaka,2015,889,1664
Melaka,2016,901.1,1664
Melaka,2017,913.1,1664
Melaka,2018,922.4,1664
Melaka,2019,928.4,1664
Melaka,2020,998.4,1664
Melaka,2021,1004.5,1664
Melaka,2022,1008.6,1664
Melaka,2023,1028.3,1664
Melaka,2024,1046.7,1664
Melaka,2025,1052.5,1664
Negeri Sembilan,2000,866.1,6686
Negeri Sembilan,2001,883.7,6686
Negeri Sembilan,2002,900.3,6686
Negeri Sembilan,2003,916.8,6686
Negeri Sembilan,2004,933.7,6686
Negeri Sembilan,2005,950.3,6686
Negeri Sembilan,2006,967,6686
Negeri Sembilan,2007,983.5,6686
Negeri Sembilan,2008,999.6,6686
Negeri Sembilan,2009,1014.9,6686
Negeri Sembilan,2010,1029.5,6686
Negeri Sembilan,2011,1047.4,6686
Negeri Sembilan,2012,1057.7,6686
Negeri Sembilan,2013,1072.2,6686
Negeri Sembilan,2014,1079.6,6686
Negeri Sembilan,2015,1088.8,6686
Negeri Sembilan,2016,1099.3,6686
Negeri Sembilan,2017,1114,6686
Negeri Sembilan,2018,1122.9,6686
Negeri Sembilan,2019,1126.2,6686
Negeri Sembilan,2020,1200,6686
Negeri Sembilan,2021,1204.2,6686
Negeri Sembilan,2022,1207.9,6686
Negeri Sembilan,2023,1224.9,6686
Negeri Sembilan,2024,1239.5,6686
Negeri Sembilan,2025,1244.6,6686
Pahang,2000,1295.8,36137
Pahang,2001,1317.3,36137
Pahang,2002,1338.7,36137
Pahang,2003,1360,36137
Pahang,2004,1380.2,36137
Pahang,2005,1400.8,36137
Pahang,2006,1421.2,36137
Pahang,2007,1441.4,36137
Pahang,2008,1461.6,36137
Pahang,2009,1481.7,36137
Pahang,2010,1501.9,36137
Pahang,2011,1526.8,36137
Pahang,2012,1547.1,36137
Pahang,2013,1568.7,36137
Pahang,2014,1591.7,36137
Pahang,2015,1607.9,36137
Pahang,2016,1626.7,36137
Pahang,2017,1647,36137
Pahang,2018,1664.7,36137
Pahang,2019,1671.4,36137
Pahang,2020,1591.3,36137
Pahang,2021,1601.5,36137
Pahang,2022,1614.3,36137
Pahang,2023,1643.2,36137
Pahang,2024,1667.7,36137
Pahang,2025,1678.2,36137
Perak,2000,2091.7,21035
Perak,2001,2129,21035
Perak,2002,2161.8,21035
Perak,2003,2192.1,21035
Perak,2004,2222.1,21035
Perak,2005,2251.1,21035
Perak,2006,2279.3,21035
Perak,2007,2306.4,21035
Perak,2008,2331.6,21035
Perak,2009,2355.7,21035
Perak,2010,2379,21035
Perak,2011,2402.7,21035
Perak,2012,2427,21035
Perak,2013,2447.2,21035
Perak,2014,2458.8,21035
Perak,2015,2466.9,21035
Perak,2016,2482.1,21035
Perak,2017,2493.2,21035
Perak,2018,2503.5,21035
Perak,2019,2508.8,21035
Perak,2020,2496,21035
Perak,2021,2515.8,21035
Perak,2022,2514.4,21035
Perak,2023,2541.2,21035
Perak,2024,2569.4,21035
Perak,2025,2574.9,21035
Perlis,2000,207.6,821
Perlis,2001,210.4,821
Perlis,2002,213.2,821
Perlis,2003,216,821
Perlis,2004,218.8,821
Perlis,2005,221.6,821
Perlis,2006,224.4,821
Perlis,2007,227.2,821
Perlis,2008,230.1,821
Perlis,2009,233,821
Perlis,2010,235.8,821
Perlis,2011,237.3,821
Perlis,2012,239.4,821
Perlis,2013,242.1,821
Perlis,2014,245.1,821
Perlis,2015,248.5,821
Perlis,2016,251,821
Perlis,2017,252,821
Perlis,2018,253.5,821
Perlis,2019,254,821
Perlis,2020,284.9,821
Perlis,2021,287.6,821
Perlis,2022,289.8,821
Perlis,2023,293.1,821
Perlis,2024,296.8,821
Perlis,2025,297.8,821
Penang,2000,1332.7,1048
Penang,2001,1361,1048
Penang,2002,1387.3,1048
Penang,2003,1412.2,1048
Penang,2004,1436.6,1048
Penang,2005,1460.4,1048
Penang,2006,1484.1,1048
Penang,2007,1507.8,1048
Penang,2008,1531.3,1048
Penang,2009,1554.3,1048
Penang,2010,1575.9,1048
Penang,2011,1601,1048
Penang,2012,1623.2,1048
Penang,2013,1662.6,1048
Penang,2014,1678.1,1048
Penang,2015,1698.1,1048
Penang,2016,1717.7,1048
Penang,2017,1744.1,1048
Penang,2018,1762.8,1048
Penang,2019,1768.8,1048
Penang,2020,1740.4,1048
Penang,2021,1740,1048
Penang,2022,1740.9,1048
Penang,2023,1772.6,1048
Penang,2024,1800.5,1048
Penang,2025,1803.3,1048
Sabah,2000,2603.5,73631
Sabah,2001,2663.3,73631
Sabah,2002,2719.1,73631
Sabah,2003,2774,73631
Sabah,2004,2833.4,73631
Sabah,2005,2897,73631
Sabah,2006,2962.9,73631
Sabah,2007,3032.3,73631
Sabah,2008,3105.1,73631
Sabah,2009,3181.1,73631
Sabah,2010,3260,73631
Sabah,2011,3345.5,73631
Sabah,2012,3432.7,73631
Sabah,2013,3611.5,73631
Sabah,2014,3669.9,73631
Sabah,2015,3720.5,73631
Sabah,2016,3802.8,73631
Sabah,2017,3855.9,73631
Sabah,2018,3898.4,73631
Sabah,2019,3904.4,73631
Sabah,2020,3418.8,73631
Sabah,2021,3412.6,73631
Sabah,2022,3414.9,73631
Sabah,2023,3596.7,73631
Sabah,2024,3742,73631
Sabah,2025,3759.6,73631
Sarawak,2000,2071.5,124450
Sarawak,2001,2115.6,124450
Sarawak,2002,2158.3,124450
Sarawak,2003,2199,124450
Sarawak,2004,2240.4,124450
Sarawak,2005,2282.4,124450
Sarawak,2006,2324.9,124450
Sarawak,2007,2366.1,124450
Sarawak,2008,2408.4,124450
Sarawak,2009,2450.8,124450
Sarawak,2010,2487.1,124450
Sarawak,2011,2527.9,124450
Sarawak,2012,2569.7,124450
Sarawak,2013,2642.5,124450
Sarawak,2014,2664,124450
Sarawak,2015,2701.5,124450
Sarawak,2016,2738.7,124450
Sarawak,2017,2766.3,124450
Sarawak,2018,2791.7,124450
Sarawak,2019,2806,124450
Sarawak,2020,2453.7,124450
Sarawak,2021,2465.6,124450
Sarawak,2022,2473.5,124450
Sarawak,2023,2502.3,124450
Sarawak,2024,2517.5,124450
Sarawak,2025,2529.8,124450
Selangor,2000,4188.9,8104
Selangor,2001,4317.5,8104
Selangor,2002,4446.3,8104
Selangor,2003,4577.3,8104
Selangor,2004,4712.8,8104
Selangor,2005,4849.6,8104
Selangor,2006,4986.2,8104
Selangor,2007,5127.1,8104
Selangor,2008,5268.5,8104
Selangor,2009,5417.8,8104
Selangor,2010,5502.1,8104
Selangor,2011,5600.3,8104
Selangor,2012,5702.4,8104
Selangor,2013,5904.7,8104
Selangor,2014,6051.3,8104
Selangor,2015,6178,8104
Selangor,2016,6291.5,8104
Selangor,2017,6380.7,8104
Selangor,2018,6475,8104
Selangor,2019,6506.1,8104
Selangor,2020,6994.4,8104
Selangor,2021,7014.7,8104
Selangor,2022,7050.3,8104
Selangor,2023,7209.7,8104
Selangor,2024,7362.7,8104
Selangor,2025,7406.8,8104
Terengganu,2000,902.6,13035
Terengganu,2001,920,13035
Terengganu,2002,936.6,13035
Terengganu,2003,951.4,13035
Terengganu,2004,966.6,13035
Terengganu,2005,981.4,13035
Terengganu,2006,995.9,13035
Terengganu,2007,1010.4,13035
Terengganu,2008,1025.2,13035
Terengganu,2009,1040.7,13035
Terengganu,2010,1055.4,13035
Terengganu,2011,1079,13035
Terengganu,2012,1094.1,13035
Terengganu,2013,1113.4,13035
Terengganu,2014,1140.4,13035
Terengganu,2015,1161,13035
Terengganu,2016,1183.4,13035
Terengganu,2017,1208,13035
Terengganu,2018,1228.3,13035
Terengganu,2019,1244.5,13035
Terengganu,2020,1149.4,13035
Terengganu,2021,1170.7,13035
Terengganu,2022,1186.6,13035
Terengganu,2023,1210,13035
Terengganu,2024,1231.5,13035
Terengganu,2025,1246.9,13035
Kuala Lumpur,2000,1416,243
Kuala Lumpur,2001,1446.2,243
Kuala Lumpur,2002,1474.1,243
Kuala Lumpur,2003,1500.5,243
Kuala Lumpur,2004,1526.4,243
Kuala Lumpur,2005,1551.8,243
Kuala Lumpur,2006,1577.5,243
Kuala Lumpur,2007,1603.3,243
Kuala Lumpur,2008,1628.9,243
Kuala Lumpur,2009,1652.8,243
Kuala Lumpur,2010,1674.8,243
Kuala Lumpur,2011,1693,243
Kuala Lumpur,2012,1702.1,243
Kuala Lumpur,2013,1723.4,243
Kuala Lumpur,2014,1737.4,243
Kuala Lumpur,2015,1780.4,243
Kuala Lumpur,2016,1789.7,243
Kuala Lumpur,2017,1793.2,243
Kuala Lumpur,2018,1790,243
Kuala Lumpur,2019,1782.5,243
Kuala Lumpur,2020,1982.1,243
Kuala Lumpur,2021,1964,243
Kuala Lumpur,2022,1961.2,243
Kuala Lumpur,2023,2005.7,243
Kuala Lumpur,2024,2067.5,243
Kuala Lumpur,2025,2074.1,243
Labuan,2000,76.1,91
Labuan,2001,77,91
Labuan,2002,77.8,91
Labuan,2003,78.7,91
Labuan,2004,79.7,91
Labuan,2005,80.8,91
Labuan,2006,82,91
Labuan,2007,83.2,91
Labuan,2008,84.6,91
Labuan,2009,86.3,91
Labuan,2010,88.2,91
Labuan,2011,89.4,91
Labuan,2012,90.5,91
Labuan,2013,91.4,91
Labuan,2014,93.8,91
Labuan,2015,95.1,91
Labuan,2016,96.8,91
Labuan,2017,97.6,91
Labuan,2018,99,91
Labuan,2019,99.3,91
Labuan,2020,95.1,91
Labuan,2021,96,91
Labuan,2022,96.9,91
Labuan,2023,99,91
Labuan,2024,100.8,91
Labuan,2025,100.9,91
Putrajaya,2010,73.4,49
Putrajaya,2011,77.5,49
Putrajaya,2012,78.3,49
Putrajaya,2013,79.7,49
Putrajaya,2014,80.9,49
Putrajaya,2015,83,49
Putrajaya,2016,84.4,49
Putrajaya,2017,87.5,49
Putrajaya,2018,97.2,49
Putrajaya,2019,103.7,49
Putrajaya,2020,109.2,49
Putrajaya,2021,115.2,49
Putrajaya,2022,117,49
Putrajaya,2023,118.8,49
Putrajaya,2024,120.3,49
Putrajaya,2025,120.8,49
